Time,Temperature,Humidity
00:00:00,27,45
00:10:00,16,59
00:20:00,30,42
00:30:00,29,58
00:40:00,30,42
00:50:00,18,59
01:00:00,19,60
01:10:00,28,46
01:20:00,27,59
01:30:00,23,60
01:40:00,30,40
01:50:00,30,59
02:00:00,24,47
02:10:00,22,45
02:20:00,17,59
02:30:00,22,41
02:40:00,30,53
02:50:00,29,50
03:00:00,30,58
03:10:00,17,41
03:20:00,24,40
03:30:00,29,50
03:40:00,20,49
03:50:00,23,46
04:00:00,21,45
04:10:00,23,60
04:20:00,20,46
04:30:00,30,40
04:40:00,16,44
04:50:00,29,60
05:00:00,23,57
05:10:00,19,42
05:20:00,25,59
05:30:00,29,41
05:40:00,18,41
05:50:00,26,41
06:00:00,28,44
06:10:00,17,54
06:20:00,26,49
06:30:00,28,48
06:40:00,19,51
06:50:00,16,60
07:00:00,20,40
07:10:00,23,59
07:20:00,30,42
07:30:00,29,40
07:40:00,27,52
07:50:00,28,54
08:00:00,19,42
08:10:00,17,42
08:20:00,17,50
08:30:00,17,57
08:40:00,20,57
08:50:00,19,55
09:00:00,27,51
09:10:00,28,60
09:20:00,22,49
09:30:00,29,49
09:40:00,18,45
09:50:00,25,43
10:00:00,29,56
10:10:00,26,60
10:20:00,24,56
10:30:00,25,42
10:40:00,26,51
10:50:00,24,45
11:00:00,27,60
11:10:00,30,56
11:20:00,29,56
11:30:00,25,43
11:40:00,28,51
11:50:00,25,44
12:00:00,19,45
12:10:00,28,52
12:20:00,26,54
12:30:00,24,42
12:40:00,20,59
12:50:00,19,49
13:00:00,23,58
13:10:00,20,57
13:20:00,24,55
13:30:00,30,50
13:40:00,19,57
13:50:00,19,48
14:00:00,22,47
14:10:00,21,50
14:20:00,24,60
14:30:00,29,45
14:40:00,30,42
14:50:00,24,43
15:00:00,20,44
15:10:00,25,56
15:20:00,20,59
15:30:00,30,49
15:40:00,19,51
15:50:00,21,54
16:00:00,27,46
16:10:00,18,58
16:20:00,23,51
16:30:00,19,57
16:40:00,20,55
16:50:00,18,48
17:00:00,19,47
17:10:00,25,53
17:20:00,17,46
17:30:00,16,57
17:40:00,30,49
17:50:00,23,55
18:00:00,17,42
18:10:00,17,43
18:20:00,17,43
18:30:00,16,59
18:40:00,28,55
18:50:00,29,47
19:00:00,27,53
19:10:00,23,47
19:20:00,18,49
19:30:00,29,45
19:40:00,27,41
19:50:00,16,51
20:00:00,26,49
20:10:00,26,59
20:20:00,23,54
20:30:00,16,44
20:40:00,17,57
20:50:00,21,44
21:00:00,28,43
21:10:00,17,47
21:20:00,21,58
21:30:00,16,53
21:40:00,23,40
21:50:00,18,46
22:00:00,20,52
22:10:00,30,52
22:20:00,26,52
22:30:00,20,51
22:40:00,28,51
22:50:00,24,54
23:00:00,27,53
23:10:00,29,50
23:20:00,26,58
23:30:00,21,59
23:40:00,23,49
23:50:00,21,59
